Data Source,Time,Value
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:09:48,29439
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:10:48,29420
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:11:05,29420
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:11:48,29455
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:12:48,29723
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:13:48,29486
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:14:48,29550
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:15:48,29772
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:16:48,29534
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:17:48,29408
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:18:48,29583
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:19:48,29283
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:20:48,29583
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:21:05,29583
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:21:48,29376
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:22:48,29456
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:23:48,29298
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:24:48,28998
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:25:48,29266
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:26:48,29264
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:27:48,29234
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:28:48,29250
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:29:48,29376
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:30:48,29281
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:31:05,29281
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:31:48,29203
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:32:48,29250
