date,value
2019-01-01T05:00:00.000Z,3876.0000000000005
2019-01-01T07:27:18.720Z,5160
2019-01-01T08:03:01.440Z,3120.0000000000005
2019-01-01T08:29:48.480Z,3672.0000000000005
2019-01-01T08:34:16.320Z,3672.0000000000005
2019-01-01T08:52:07.680Z,3260.9999999999995
2019-01-01T11:55:09.120Z,6300
2019-01-01T12:04:04.800Z,5592
2019-01-01T12:04:04.800Z,5814
2019-01-01T12:48:43.200Z,6600
2019-01-01T15:02:38.400Z,4074
2019-01-01T15:38:21.120Z,4371
2019-01-01T15:38:21.120Z,4452
2019-01-01T15:42:48.960Z,4782
2019-01-01T19:08:09.600Z,3324
2019-01-01T19:08:09.600Z,3183
2019-01-01T19:12:37.440Z,3150
2019-01-01T20:32:58.560Z,2403
2019-01-01T22:02:15.360Z,4185
2019-01-01T22:42:25.920Z,3213.0000000000005
2019-01-01T22:42:25.920Z,3150
2019-01-01T22:51:21.600Z,4089
2019-01-02T01:45:27.360Z,1764
2019-01-02T02:16:42.240Z,2652
2019-01-02T02:16:42.240Z,2742.0000000000005
2019-01-02T02:25:37.920Z,3141
2019-01-02T03:37:03.360Z,1218
2019-01-02T05:46:30.720Z,2274
2019-01-02T05:50:58.560Z,2136
2019-01-02T05:59:54.240Z,1107
2019-01-02T06:08:49.920Z,6324
2019-01-02T09:20:47.040Z,2025.0000000000002
2019-01-02T09:20:47.040Z,2214
2019-01-02T10:58:59.520Z,1497
2019-01-02T12:14:52.800Z,3822.0000000000005
2019-01-02T12:55:03.360Z,3696
2019-01-02T12:55:03.360Z,3560.9999999999995
2019-01-02T12:59:31.200Z,2780.9999999999995
2019-01-02T16:20:24.000Z,5321.999999999999
2019-01-02T16:24:51.840Z,5208
2019-01-02T16:24:51.840Z,4911
2019-01-02T16:51:38.880Z,5334
2019-01-02T19:50:12.480Z,3930
2019-01-02T19:59:08.160Z,4389
2019-01-02T19:59:08.160Z,4626
2019-01-02T21:55:12.000Z,4941
2019-01-02T23:15:33.120Z,3399
2019-01-02T23:28:56.640Z,3921.0000000000005
2019-01-02T23:28:56.640Z,3761.9999999999995
2019-01-02T23:33:24.480Z,4227
2019-01-03T02:58:45.120Z,1467
2019-01-03T03:03:12.960Z,1686
2019-01-03T03:03:12.960Z,1704
2019-01-03T03:07:40.800Z,1170
2019-01-03T06:24:05.760Z,2685
2019-01-03T06:37:29.280Z,2042.9999999999998
2019-01-03T06:37:29.280Z,1704
2019-01-03T09:31:35.040Z,2868
2019-01-03T09:44:58.560Z,1341
2019-01-03T10:07:17.760Z,2697.0000000000005
2019-01-03T10:07:17.760Z,2871
2019-01-03T10:43:00.480Z,1932
2019-01-03T13:28:10.560Z,4671
2019-01-03T13:41:34.080Z,3900
2019-01-03T13:41:34.080Z,4386
2019-01-03T14:17:16.800Z,3851.9999999999995
2019-01-03T15:24:14.400Z,5669.999999999999
2019-01-03T17:11:22.560Z,4455
2019-01-03T17:15:50.400Z,4532.999999999999
2019-01-03T17:20:18.240Z,4185
2019-01-03T19:11:54.240Z,6000
2019-01-03T20:45:38.880Z,5256
2019-01-03T20:45:38.880Z,5319
2019-01-03T20:59:02.400Z,5321.999999999999
2019-01-03T23:35:16.800Z,3369.0000000000005
2019-01-04T00:19:55.200Z,4374
2019-01-04T00:19:55.200Z,4689
2019-01-04T00:28:50.880Z,4692
2019-01-04T03:45:15.840Z,1467
2019-01-04T03:49:43.680Z,1952.9999999999998
2019-01-04T03:49:43.680Z,1734.0000000000002
2019-01-04T04:12:02.880Z,983.9999999999999
2019-01-04T05:54:43.200Z,2448
2019-01-04T07:24:00.000Z,2184
2019-01-04T07:24:00.000Z,2040.0000000000002
2019-01-04T07:37:23.520Z,1248
2019-01-04T10:22:33.600Z,3726
2019-01-04T10:53:48.480Z,3336
2019-01-04T10:58:16.320Z,3747
2019-01-04T11:02:44.160Z,2667
2019-01-04T14:14:41.280Z,5007.000000000001
2019-01-04T14:28:04.800Z,4422
2019-01-04T14:28:04.800Z,4341
2019-01-04T14:37:00.480Z,9021
2019-01-04T14:41:28.320Z,3980.9999999999995
2019-01-04T18:02:21.120Z,5780.999999999999
2019-01-04T18:02:21.120Z,5907.000000000001
2019-01-04T18:15:44.640Z,5984.999999999999
2019-01-04T21:05:22.560Z,4323
2019-01-04T21:32:09.600Z,4335
2019-01-04T21:36:37.440Z,4431
2019-01-04T21:58:56.640Z,5744.999999999999
2019-01-05T00:44:06.720Z,2807.9999999999995
2019-01-05T01:06:25.920Z,3495
2019-01-05T01:06:25.920Z,3635.9999999999995
2019-01-05T02:22:19.200Z,4236
2019-01-05T04:27:18.720Z,1017
2019-01-05T04:40:42.240Z,2202
2019-01-05T04:40:42.240Z,2121
2019-01-05T05:56:35.520Z,2763.0000000000005
2019-01-05T06:14:26.880Z,810.0000000000001
2019-01-05T08:10:30.720Z,1578
2019-01-05T08:14:58.560Z,1482.0000000000002
2019-01-05T10:02:06.720Z,1059
2019-01-05T11:04:36.480Z,3684
2019-01-05T11:44:47.040Z,2124
2019-01-05T11:44:47.040Z,2289
2019-01-05T13:49:46.560Z,1074
2019-01-05T14:52:16.320Z,2997
2019-01-05T15:19:03.360Z,2589
2019-01-05T15:19:03.360Z,2936.9999999999995
2019-01-05T15:59:13.920Z,1734.0000000000002
2019-01-05T17:50:49.920Z,3513.0000000000005
2019-01-05T18:48:51.840Z,3090.0000000000005
2019-01-05T18:48:51.840Z,2919
2019-01-05T20:04:45.120Z,2031
2019-01-05T20:58:19.200Z,4296
2019-01-05T22:23:08.160Z,4149
2019-01-05T22:23:08.160Z,4371
2019-01-05T22:36:31.680Z,4344
2019-01-06T01:52:56.640Z,2733
2019-01-06T01:52:56.640Z,2481
2019-01-06T01:52:56.640Z,2436
2019-01-06T02:10:48.000Z,3086.9999999999995
2019-01-06T05:09:21.600Z,1203
2019-01-06T05:27:12.960Z,1638
2019-01-06T05:27:12.960Z,1419
2019-01-06T07:18:48.960Z,2700
2019-01-06T07:50:03.840Z,1092
2019-01-06T09:01:29.280Z,1749
2019-01-06T09:01:29.280Z,1485
2019-01-06T11:15:24.480Z,3468.0000000000005
2019-01-06T11:37:43.680Z,1047
2019-01-06T12:31:17.760Z,2481
2019-01-06T12:31:17.760Z,2244
2019-01-06T14:54:08.640Z,2922
2019-01-06T15:34:19.200Z,1434
2019-01-06T16:05:34.080Z,2211
2019-01-06T16:05:34.080Z,2343
2019-01-06T17:03:36.000Z,1701
2019-01-06T19:26:26.880Z,3327
2019-01-06T19:35:22.560Z,2436
2019-01-06T19:39:50.400Z,2649
2019-01-06T20:15:33.120Z,2259
2019-01-06T20:51:15.840Z,3450
2019-01-06T23:09:38.880Z,2625
2019-01-06T23:09:38.880Z,2151
2019-01-07T02:03:44.640Z,1371.0000000000002
2019-01-07T02:30:31.680Z,3195
2019-01-07T02:43:55.200Z,2091
2019-01-07T02:43:55.200Z,2451
2019-01-07T02:57:18.720Z,3198
2019-01-07T04:17:39.840Z,1107
2019-01-07T06:13:43.680Z,2211
2019-01-07T06:13:43.680Z,1671
2019-01-07T06:27:07.200Z,1170
2019-01-07T09:16:45.120Z,3498
2019-01-07T09:48:00.000Z,3138.0000000000005
2019-01-07T09:48:00.000Z,3309
2019-01-07T10:59:25.440Z,1967.9999999999998
2019-01-07T12:33:10.080Z,4599
2019-01-07T13:17:48.480Z,3903
2019-01-07T13:22:16.320Z,4038
2019-01-07T13:40:07.680Z,3357
2019-01-07T15:49:35.040Z,6249
2019-01-07T16:52:04.800Z,6030
2019-01-07T16:52:04.800Z,5778.000000000001
2019-01-07T17:23:19.680Z,4419
2019-01-07T19:14:55.680Z,6453
2019-01-07T20:26:21.120Z,4827
2019-01-07T20:26:21.120Z,5115
2019-01-07T21:24:23.040Z,6837
2019-01-07T23:11:31.200Z,3918
2019-01-07T23:56:09.600Z,4197
2019-01-08T00:00:37.440Z,4119
2019-01-08T00:05:05.280Z,4593
2019-01-08T03:25:58.080Z,1686
2019-01-08T03:30:25.920Z,2633.9999999999995
2019-01-08T03:30:25.920Z,2247.0000000000005
2019-01-08T03:52:45.120Z,3000
2019-01-08T05:04:10.560Z,1107
2019-01-08T07:04:42.240Z,1905
2019-01-08T07:04:42.240Z,1716
2019-01-08T07:40:24.960Z,1293
2019-01-08T10:12:11.520Z,4119
2019-01-08T10:34:30.720Z,3857.9999999999995
2019-01-08T10:38:58.560Z,4041.0000000000005
2019-01-08T11:01:17.760Z,3183
2019-01-08T13:33:04.320Z,7017
2019-01-08T14:08:47.040Z,6804
2019-01-08T14:08:47.040Z,6630
2019-01-08T14:22:10.560Z,5463
2019-01-08T16:58:24.960Z,8565.000000000002
2019-01-08T17:43:03.360Z,6732.000000000001
2019-01-08T17:43:03.360Z,6698.999999999999
2019-01-08T17:51:59.040Z,6342
2019-01-08T21:03:56.160Z,9627
2019-01-08T21:12:51.840Z,9023.999999999998
2019-01-08T21:12:51.840Z,8817
2019-01-08T21:17:19.680Z,9201
2019-01-09T00:42:40.320Z,5301.000000000001
2019-01-09T00:47:08.160Z,5868
2019-01-09T00:47:08.160Z,5697
2019-01-09T00:56:03.840Z,6044.999999999999
2019-01-09T03:45:41.760Z,2448
2019-01-09T04:16:56.640Z,2700
2019-01-09T04:16:56.640Z,2810.9999999999995
2019-01-09T04:34:48.000Z,3606
2019-01-09T07:02:06.720Z,1578
2019-01-09T07:51:12.960Z,1980
2019-01-09T07:51:12.960Z,1932
2019-01-09T08:04:36.480Z,1578
2019-01-09T10:58:42.240Z,3903
2019-01-09T11:25:29.280Z,3933
2019-01-09T11:25:29.280Z,3729
2019-01-09T11:25:29.280Z,3570.0000000000005
2019-01-09T14:41:54.240Z,7421.999999999999
2019-01-09T14:55:17.760Z,6348
2019-01-09T14:55:17.760Z,6063
2019-01-09T17:58:19.200Z,16077.000000000002
2019-01-09T18:29:34.080Z,15255.000000000002
2019-01-09T18:29:34.080Z,15333
2019-01-09T19:32:03.840Z,16578
2019-01-09T20:21:10.080Z,14229
2019-01-09T21:59:22.560Z,14580
2019-01-09T22:03:50.400Z,14595
2019-01-09T22:52:56.640Z,14880
2019-01-10T01:11:19.680Z,12213
2019-01-10T01:33:38.880Z,12240
2019-01-10T01:33:38.880Z,12432
2019-01-10T02:18:17.280Z,12639
2019-01-10T04:50:03.840Z,10317
2019-01-10T05:07:55.200Z,10695
2019-01-10T05:07:55.200Z,10380
2019-01-10T05:52:33.600Z,11655
2019-01-10T07:21:50.400Z,10194
2019-01-10T08:37:43.680Z,11025
2019-01-10T08:37:43.680Z,10677.000000000002
2019-01-10T12:12:00.000Z,13746
2019-01-10T12:12:00.000Z,13239
