date,value
2015-01-01,5895
2015-01-02,5987
2015-01-03,6018
2015-01-04,5972
2015-01-05,6529
2015-01-06,6495
2015-01-07,6619
2015-01-08,6797
2015-01-09,7028
2015-01-10,6293
2015-01-11,6307
2015-01-12,6857
2015-01-13,7046
2015-01-14,6688
2015-01-15,6957
2015-01-16,7063
2015-01-17,6279
2015-01-18,6412
2015-01-19,6577
2015-01-20,1210
2015-01-21,7229
2015-01-22,6952
2015-01-23,6498
2015-01-24,5835
2015-01-25,5894
2015-01-26,6591
2015-01-27,6546
2015-01-28,6806
2015-01-29,6916
2015-01-30,6859
2015-01-31,6151
2015-02-01,6113
2015-02-02,6861
2015-02-03,6901
2015-02-04,6965
2015-02-05,6954
2015-02-06,6911
2015-02-07,5961
2015-02-08,5991
2015-02-09,6889
2015-02-10,6869
2015-02-11,6876
2015-02-12,6833
2015-02-13,6798
2015-02-14,5898
2015-02-15,5962
2015-02-16,6600
2015-02-17,5958
2015-02-18,6880
2015-02-19,6958
2015-02-20,6893
2015-02-21,5946
2015-02-22,6457
2015-02-23,7707
2015-02-24,7075
2015-02-25,7072
2015-02-26,6708
2015-02-27,6973
2015-02-28,6149
2015-03-01,6271
2015-03-02,6963
2015-03-03,6996
2015-03-04,6968
2015-03-05,6197
2015-03-06,6407
2015-03-07,6162
2015-03-08,950
2015-03-09,6844
2015-03-10,6875
2015-03-11,6870
2015-03-12,6829
2015-03-13,6702
2015-03-14,5897
2015-03-15,5861
2015-03-16,6096
2015-03-17,6084
2015-03-18,6190
2015-03-19,6415
2015-03-20,6453
2015-03-21,5991
2015-03-22,5970
2015-03-23,6771
2015-03-24,6870
2015-03-25,6928
2015-03-26,6800
2015-03-27,6700
2015-03-28,6136
2015-03-29,6409
2015-03-30,6869
2015-03-31,4149
2015-04-01,885
2015-04-02,6729
2015-04-03,6647
2015-04-04,6011
2015-04-05,5903
2015-04-06,6700
2015-04-07,5422
2015-04-08,6270
2015-04-09,6662
2015-04-10,6556
2015-04-11,5850
2015-04-12,5845
2015-04-13,6566
2015-04-14,6639
2015-04-15,6701
2015-04-16,6578
2015-04-17,6524
2015-04-18,5880
2015-04-19,5805
2015-04-20,6510
2015-04-21,6554
2015-04-22,6653
2015-04-23,6435
2015-04-24,6262
2015-04-25,5822
2015-04-26,5654
2015-04-27,6763
2015-04-28,7080
2015-04-29,6982
2015-04-30,6942
2015-05-01,6790
2015-05-02,6117
2015-05-03,6204
2015-05-04,6887
2015-05-05,7017
2015-05-06,6975
2015-05-07,6855
2015-05-08,6957
2015-05-09,6430
2015-05-10,6376
2015-05-11,7115
2015-05-12,6980
2015-05-13,6717
2015-05-14,6652
2015-05-15,6653
2015-05-16,6185
2015-05-17,6211
2015-05-18,2448
