date,NONE,003TA1MS,004TA1MS,003TB1MS,007TA1MS,009A03MS,011B04MS,019TA1MS,026TA1MS,034A02MS,034A03MS,035TA1MS,036TA1MS,037A03MS,046TA1MS,051TA1MS,052A03MS,054TA1MS,059A03MS,065TA1MS,067TA1MS,068B01MS,069TA1MS,070TA1MS,071A04MS,073TA1MS,073TB1MS,074A02MS,076TA1MS,076TA2MS,077TA1MS,078TA1MS,081TA2MS,082TA1MS,082TB1MS,083TA1MS,084TA1MS,085B02MS,087TA1MS,088TA1MS,089TA1MS,090TA1MS,091TA1MS,091TB1MS,091TC1MS,091TD1MS,092A03MS,093TA1MS,096A03MS,097TA1MS,098A03MS,099A03MS,115TC1MS,121A02MS,122TA1MS,126TA1MS,127TA1MS,128TA1MS,129TA1MS,130A03MS,131TA1MS,132TA1MS,133A03MS,134TA1MS,135A03MS,136A03MS,137A03MS,138A03MS,139A03MS,140A03MS,141TA1MS,142TA2MS,142C03MS,142TD1MS,142TF1MS,143TA1MS,144TA1MS,144TB1MS,144TB2MS,146TA1MS,147TA1MS,158A03MS,162TA1MS,162TB1MS,162TC1MS,163F01MS,215TA1MS,223TA1MS,224TA1MS,224TB1MS,224TC1MS,225TA2MS,227A02MS,231TA1MS,232TA1MS,237TA1MS,250TA1MS,251A04MS,252A03MS,253TA1MS,254A03MS,255B04MS,256TA1MS,257A03MS,258A04MS,259A04MS,360C01MS,379B01MS,392TA1MS,405TA1MS,405TA2MS,413TA2MS,415TA1MS,419C01MS,425C01MS,996TA3MS
Sat Oct 01 2005 00:00:00 GMT-0400 (Eastern Daylight Time),0,286877,222446,16148,0,149442,144832,353371,488095,162000,0,845284,834264,0,867202,56667,83300,39799,0,59996,NaN,NaN,16964,19195,148950,221109,451368,15195,7,24440,0,56479,656,592312,170607,235228,465986,98320,164825,320000,22674,740653,336579,506967,426095,NaN,22900,55986,193517,116595,3713,34080,807646,44700,303034,8130,14634,14634,13410,9240,24630,14190,11700,13185,13890,12480,88350,18060,10440,403819,455205,221261,0,NaN,5102,313750,NaN,0,0,941303,NaN,55900,151791,369212,0,0,70732,296343,603908,242497,345025,NaN,57425,NaN,83871,2201,98128,115749,2633,102605,638416,2096,96799,360852,163580,162600,520160,726900,NaN,NaN,NaN,0,0,0,0,246229
Tue Nov 01 2005 00:00:00 GMT-0500 (Eastern Standard Time),0,472904,399432,154484,-80,164640,139932,NaN,NaN,188880,19100,NaN,722880,2156,955392,204546,205560,144753,0,278500,NaN,NaN,253633,239996,144310,600748,NaN,4790,94823,157883,0,546239,116080,NaN,424786,346347,681850,12756,250804,361675,304420,NaN,676116,968674,NaN,NaN,22170,81921,389627,234752,373730,185280,951000,182400,649571,51060,35400,35400,29295,31770,54015,23715,38205,54225,47865,29745,293970,55665,42165,590886,NaN,681343,0,NaN,36802,602162,NaN,0,0,NaN,NaN,113040,336581,853287,0,0,90420,389555,905693,535257,662514,NaN,117720,NaN,107284,79321,347030,263400,950640,550518,494060,346200,547830,385158,885816,522120,534647,231412,NaN,NaN,0,0,0,0,0,737443
Thu Dec 01 2005 00:00:00 GMT-0500 (Eastern Standard Time),0,532831,326797,209300,0,228336,139932,NaN,NaN,216700,103280,NaN,929050,32026,NaN,209000,214800,271777,65880,367200,NaN,NaN,310200,299200,219444,706000,741896,0,159492,389138,333178,738000,125860,985100,293800,413150,573384,909480,183124,740141,435524,NaN,NaN,NaN,NaN,NaN,169200,144201,388545,234100,859040,242040,NaN,2943,699000,55380,57228,57228,25290,70395,74520,56730,59205,74970,88305,57945,84945,72840,82695,693486,NaN,787700,0,NaN,30900,608500,NaN,0,0,NaN,NaN,75240,619805,NaN,0,0,74281,409125,711157,631070,666319,NaN,114168,NaN,121900,132500,424438,508320,NaN,719600,808660,435000,637700,229320,805400,867172,NaN,NaN,NaN,0,0,0,0,0,0,779711
Sun Jan 01 2006 00:00:00 GMT-0500 (Eastern Standard Time),0,348599,409900,165228,0,169243,139932,NaN,NaN,194040,101140,NaN,836806,35622,NaN,173400,186720,209623,130440,277707,NaN,NaN,269200,217700,170508,647900,859826,125260,178950,421872,199421,707400,115824,877300,249829,296490,534000,718248,189300,520993,349600,NaN,998700,NaN,NaN,NaN,346338,51663,334604,201600,748340,162600,NaN,248400,527300,42540,47224,47224,36050,54480,46155,55245,44190,62760,74865,54030,75840,53463,59280,654235,NaN,642100,0,NaN,63,489000,NaN,0,0,411000,NaN,96000,517895,638886,0,0,75900,375900,631501,429240,562800,NaN,87560,NaN,153200,85900,413510,300700,NaN,606000,540800,136200,576000,240960,637820,380280,777920,905220,NaN,0,0,0,0,0,0,596773
Wed Feb 01 2006 00:00:00 GMT-0500 (Eastern Standard Time),0,399184,409625,189204,8416,193802,139932,NaN,NaN,152360,98870,NaN,776678,39026,NaN,152217,142440,227288,105120,297994,NaN,NaN,255727,235286,48178,441904,839865,28820,36198,192059,258580,510674,122016,765961,242859,332883,414489,87508,195085,382562,259315,NaN,NaN,NaN,NaN,NaN,396595,82846,256260,134296,703080,215520,970728,338097,647114,30735,41888,41888,23740,45930,45210,46650,47910,55740,47760,37440,44940,49993,49260,479142,840649,498599,0,NaN,4245,411288,NaN,0,0,258302,NaN,71640,491281,787642,0,0,70791,348276,436991,558952,474520,NaN,96472,NaN,190306,81002,407049,150260,NaN,620587,719780,570000,507216,371880,635780,543600,NaN,852020,NaN,415000,17148,0,0,0,0,780335
Wed Mar 01 2006 00:00:00 GMT-0500 (Eastern Standard Time),0,384696,361200,182337,0,186768,135984,NaN,NaN,122461,93410,NaN,862844,29510,NaN,163100,171720,131833,131160,291900,NaN,NaN,231000,217900,97320,507600,669956,0,89280,276263,159000,467800,140232,778700,217376,337560,506000,57456,224500,334100,241300,NaN,811800,NaN,NaN,NaN,382201,53601,234216,148500,588720,157680,977600,195720,776900,24345,40368,40368,39675,35070,38205,43215,45675,46785,56190,35160,39810,39420,33780,527288,844400,565300,0,NaN,3498,435400,NaN,0,0,395643,NaN,118200,574253,783540,0,0,70800,357600,569856,444152,591000,NaN,57480,NaN,86900,59000,398060,134500,512400,615100,663720,145200,568000,361200,613988,458160,689403,NaN,NaN,NaN,0,0,0,0,0,549075
Sat Apr 01 2006 00:00:00 GMT-0500 (Eastern Standard Time),0,294886,352700,139769,0,143165,88476,496928,855800,118511,20790,972500,812562,17336,NaN,98600,113520,12997,139320,80300,NaN,NaN,68950,74957,14676,228700,516283,0,86400,41191,164300,391324,99672,520500,157024,291324,404200,37248,214700,394400,93000,871000,414737,799592,NaN,459222,292973,29740,149124,102700,370580,75720,794100,100320,444700,14055,23301,23301,21825,14055,25215,28230,27180,26325,33285,18705,23580,23970,17445,341115,590000,329800,0,NaN,6872,506900,NaN,0,0,404200,NaN,87120,365328,341052,0,0,45600,247300,360907,303037,406300,871254,39024,NaN,115900,45700,378200,125000,512580,278000,435900,144881,352900,308520,352900,257040,282030,591060,NaN,NaN,0,0,0,0,0,342889
Mon May 01 2006 00:00:00 GMT-0400 (Eastern Daylight Time),0,149163,302762,70700,0,60324,40000,297363,186624,40100,12000,NaN,753546,153000,NaN,32373,84960,8160,90000,13000,NaN,866580,8694,15840,13000,216196,523881,0,36075,40,0,20403,64080,433266,100000,254048,71104,125000,193235,273810,11380,784286,162369,737223,NaN,819155,148196,29809,66667,90353,150000,11520,757273,54840,307783,6345,15117,15117,9375,9120,14595,17010,25485,20385,21360,16620,15210,15000,11265,241101,344907,273317,0,NaN,14663,532916,NaN,0,0,275682,NaN,28440,206121,424582,0,0,15154,230826,346811,274134,338691,NaN,8380,NaN,117960,73521,291000,1680,512580,42449,250000,NaN,58173,304200,200000,151440,53524,125000,NaN,NaN,NaN,0,0,0,0,418509
Thu Jun 01 2006 00:00:00 GMT-0400 (Eastern Daylight Time),0,93800,310900,81339,0,9096,19020,3632,131500,108142,68916,835900,775108,129960,NaN,500,106680,5372,4688,1400,NaN,386269,400,1900,14760,65100,393648,0,45662,1900,0,0,27740,366958,1810,118541,5800,181745,133200,70640,2,273500,86500,474700,NaN,788600,401000,21551,7762,84500,15304,12000,702400,44280,189200,4575,8190,8190,8265,2460,6105,9180,14940,15720,12930,9300,7800,10200,4035,190230,368200,68475,0,NaN,18500,292507,NaN,0,0,492700,NaN,50400,159100,306768,0,0,17100,195000,299699,210500,191000,NaN,8800,NaN,84400,27100,98009,2280,40080,12500,107240,NaN,18400,276120,125000,116280,597278,382810,NaN,NaN,NaN,0,0,0,0,330575
Sat Jul 01 2006 00:00:00 GMT-0400 (Eastern Daylight Time),0,85249,349709,110561,0,9096,0,37373,72098,48158,194094,796592,815386,129960,NaN,103,101760,4155,4688,705,NaN,265788,131,1435,14760,99230,299549,2808,45662,1333,0,0,25640,394713,23,201443,166,181745,147346,32300,0,362417,97624,394642,972136,751975,401000,28019,7762,89350,15304,240,814083,4680,229766,6120,10137,10137,8595,3990,11955,9135,17010,12900,12690,8235,6660,7000,3795,216817,342660,68475,0,NaN,22980,292507,NaN,0,0,485345,NaN,44160,141266,297502,0,0,15064,193431,271013,221758,249223,NaN,8760,NaN,94982,9859,98009,600,85920,4371,58331,NaN,9324,284520,80000,123240,NaN,382810,NaN,NaN,NaN,0,0,0,0,585414
