date,001A01ME,002T01ME,003A03SE,003C01ME,003D01ME,004A01ME,006T01ME,008A01ME,009A01ME,010A01ME,011X01ME,013X01ME,014A01ME,015A01ME,016A01ME,019A01ME,019A02ME,021A01ME,022A01ME,023A01ME,024A01ME,025A01ME,026A01ME,028A01ME,029A01ME,030A01ME,031A01ME,032A01ME,034A01ME,035A01ME,035A02ME,036A01ME,036A02ME,036A03ME,037A01ME,038A01ME,039A01ME,039C01ME,040A03SE,042A01ME,046A01ME,047A01ME,047A02ME,047B01ME,048A01ME,052A01ME,054X01ME,059A01ME,062A01ME,063X01ME,064A01ME,067A01ME,068A01ME,068A02ME,071A01ME,073A01ME,073B01ME,074A01ME,075A01ME,076A01ME,077A01ME,077A02ME,077C01ME,077D01ME,078A01ME,079A01ME,081A01ME,082A01ME,082E02ME,083A01ME,084A01ME,085C01ME,085C02ME,087A01ME,088A01ME,088A02ME,089A01ME,089A02ME,089B01ME,090A01ME,091A01ME,091C01ME,091E01ME,091F01ME,092A01ME,093T01ME,096A01ME,097B03ME,098A01ME,099A01ME,099X01ME,102X01ME,107A01ME,115A01ME,115A02ME,115B01ME,115B02ME,122A01ME,126A01ME,127A01ME,128A01ME,129A01ME,130A01ME,131A01ME,132A01ME,133A01ME,134A01ME,135A01ME,136A01ME,137A01ME,138A01ME,139A01ME,140A01ME,141A01ME,142A01ME,142A02ME,142A03ME,143A01ME,144A01ME,144A02ME,145A01ME,146A01ME,147A01ME,147A02ME,147B01ME,148A01ME,158A01ME,162A01ME,163D01ME,201A01ME,202A01ME,218A01ME,223A01ME,223B01ME,223B02ME,223C01ME,224A01ME,224B01ME,224D01ME,224E01ME,224X01ME,225A01ME,225A02ME,227X01ME,231A01ME,231A02ME,233A01ME,238A01ME,239B01ME,240B01ME,241B01ME,242B01ME,243B01ME,250A01ME,251D01ME,252A01ME,253A01ME,254A01ME,255A01ME,255B01ME,256A01ME,257A01ME,258A01ME,259A01ME,259A02ME,296A01ME,338A01ME,343A01ME,345B01ME,345B02ME,345C01ME,346A01ME,360A01ME,360A02ME,360B01ME,361A01ME,361D01ME,362T01ME,368A01ME,379A01ME,381A01ME,382A01ME,386A01ME,386A02ME,387A01ME,388A01ME,392A01ME,392A02ME,392A03ME,398A01ME,403X01ME,404A01ME,405A01ME,405A02ME,405A03ME,405B00ME,406A01ME,407X01ME,413A01ME,413A02ME,414A01ME,415A01ME,416A01ME,417A01ME,419A01ME,419A02ME,424A01ME,425A01ME,425A02ME,426XXXME,F01X01ME,F02X01ME
Sat Oct 01 2005 00:00:00 GMT-0400 (Eastern Daylight Time),627760,4540,0,132896,0,55168,26250,26656,26584,107880,7096,40,29510,27088,11652,0,0,21384,10444,15712,23472,11336,270864,7472,9224,6564,9820,33540,81960,422040,257580,347520,251136,49680,30544,337920,327000,0,13236,84720,416400,59600,86064,0,83803.9,66336,71290,24288,19872,117552,25580,375200,120780,430440,62790,217040,28496,27360,13244,111287,22072,42144,0,0,64550,39780,26320,251200,63205,145968,144576,0,0,39920,113940,184464,38520,83220,0,145794,252000,252096,335760,158945,21384,24432,13212,56136,97180,29152,0,1968,27284,83232,82752,357320,125320,94192,15596,16840,13328,14112,15344,13768,14328,15344,14440,15424,16296,14808,15168,17200,2005.2,154500,363720,209100,11784,166579.2,429040,33760,83680,517980,298980,34020,0,23760,33184,115869,441040,0,82848,77016,30000,120,48330,0,261120,33680,193120,0,241488,198000,282000,15216,129312,158400,91872,15040,19072,13768,7304,13392,6000,127920.75,53222.4,95168,45264,98232,0,112128,84500,231700,99840,58406.4,80760,103680,91440,4652,90240,115080,476132,886464,127200,289920,244416,82000,0,17720,59560,146208,8472,0,177120,184080,111662,7488,96600,231600,0,111318,186920,65208,314607,411467,217767,143190,50000,101160,38628,0,12160,0,0,0,0,0,0,0,0,0,10540,28650
Tue Nov 01 2005 00:00:00 GMT-0500 (Eastern Standard Time),3744,7348,0,198208,0,46958.688,44820,25698.528,24825.636,113029.02,5937.624,4308,29089.53,37064,11200.932,7187.328,15663.168,21806.46,9495.756,16530.444,22631.04,10863.504,302875.2,8168.148,8303.256,5978.34,8488.908,32843.664,51578.58,379863,279407.88,476352,251119.872,31859.568,24662.88,492240,398792.16,0,18896,97231.536,93987.36,201393,72065.664,0,98458.9,54046.0512,107129.7,26328.096,19414.368,188904,24487.92,293137.92,127287.18,491661.36,56182.41,203440,34576,30208,14632,141215,10927.8,56958.336,0,0,60606,34125.84,25243.68,356800,83934,133410.672,134174.88,720,140,25821,101753.82,154308.24,36929.52,70412.22,0,249679,357480,308736,320676.8,235325,21568.752,24712,12117.708,51410.16,92629.26,25785.216,0,4784,43872,77907.744,75261.312,337330.08,117238.32,85296.24,10769.688,12327.264,15376,11708.712,11104.056,10959.84,10928.88,11634.12,11449.512,12432.888,12670.848,12042.576,11004.624,11890.944,13643.4,133017.12,336235.32,206480.88,10431.36,147877.7472,436160,107040,96973.92,463056.48,250265.16,30811.86,0,23934.528,23517.504,163250,590960,0,80869.248,115788,45527.1,140,60600,0,267747.12,38359.8,161623.36,0,250965.216,162000,240000,17472,139798.224,159144.912,124773.696,35936,43896,37960,20536,35136,21728,101712.7125,48723.8976,87042.096,40930.488,83719.872,99340.128,115590.24,81764.64,179572.5,93790.17,12395.6352,79307.37,178560,90311.76,4247.28,125760,160110,624067.8,327888,208128,498624,244032,104113.8,0,400,54386.8,133866.432,9488.16,0,195572.88,209308.32,124291,14860,74058.12,220597.92,0,74819,298200,117312,507244,364609,68145,117180,53633,161040,72240,0,21440,0,0,0,0,0,0,0,0,0,9630,82000
Thu Dec 01 2005 00:00:00 GMT-0500 (Eastern Standard Time),95680,6760,0,119456,0,39569.312,25770,33485.04,21696.732,110724.3,5831.64,5008,25382.52,23588,10401.84,8226.432,16096.896,20455.38,9156.204,15795.792,20913.048,10566.144,293462.352,8093.556,7865.316,5630.472,8146.404,30103.164,45303.84,398385,152339.4,308928,229476.672,7021.728,24239.664,330300,409898.88,0,11664,122296.464,230991.84,51084.45,69349.824,0,81325.5,52536.0672,58277.55,23322.96,19763.712,101088,22729.14,277032.96,122785.2,408267,57434.4,77920,24880,22848,9196,97451,12551.976,49025.088,0,0,41638.5,34954.74,23316.72,232320,47927,163853.328,114411.744,13080,3140,20540.16,104048.28,144058.176,34225.74,67359.6,0,152230,177660,193728,403643.2,159475,26471.016,20040,10028.664,46833.552,81842.4,22611.456,0,36908,31116,79719.552,76540.032,350189.28,127435.68,76934.016,358.8,10716.12,9728,11180.808,10119.564,10290.384,9134.784,10851.12,10726.416,11635.56,11242.656,10580.04,10450.008,10597.824,48674,104147.1,532179.12,130684.68,13984.64,111591.8208,259600,69200,89025.12,373583.88,235800.72,29292.3,0,22421.664,26692.416,115480,383120,0,83196.576,80004,27192.6,20,40020,0,261968.04,38494.08,163058.4,0,249283.008,162000,210000,9176,142549.632,157618.224,149230.512,32648,34592,30176,18304,27920,20216,95755.68225,51247.9872,80271.792,39712.68,76093.776,84348.864,114549.984,71230.14,145845.9,84657.15,13872.7296,69330.87,142128,94928.112,4616.136,94110.12,131686.02,435570.08,468864,157728,361728,159168,62660.7,0,0,23700.96,101132.928,11249.784,0,210139.92,214585.2,79732,12469.968,52767.72,199548.36,0,98585,185840,87336,442758,253876,16657,139050,53460,136500,87932,0,10832,0,0,0,0,0,0,0,0,0,1050,28410
Sun Jan 01 2006 00:00:00 GMT-0500 (Eastern Standard Time),50697.792,6596,0,146778.624,0,37734.912,20000,30933.792,19507.212,115498.98,5805.072,3608,21087.81,22975.164,8515.404,9283.968,17426.304,15246.216,7253.676,12140.388,16402.968,8521.452,277717.248,6722.172,6165.288,4740.516,7254.9,22641.66,42554.52,336706.2,292063.32,341463.168,238780.224,17543.952,25645.536,349680,420004.44,0,15328,89780.832,246072.96,53330.4,71345.376,0,10473.12,52699.392,49879.75,23369.904,15959.088,39302.712,18237.51,280861.92,121055.58,390316.32,58408.02,146800,27056,22224,9816,98904,12700.584,51536.736,0,0,33778.8,33683.31,33321.12,56808,52859,114528,107972.352,14000,5540,22808.52,106045.2,149174.784,34588.62,66366.54,0,157000,183641.04,205824,295040,155772,25044.768,17528,6665.76,44879.184,56585.7,15894.144,0,4008,28852,79888.896,75791.808,372513.28,136017.92,52589.088,19450.312,10578.096,10943.496,13118.94,8201.412,10019.232,8385.624,10085.544,9112.392,10732.608,9057.96,9137.448,8886.348,9478.08,149379.5,110195.64,290700,176220,10304,106817.8752,265040,73600,83813.04,378685.8,241056,29425.68,0,23559.12,26209.584,118207,399440,0,84211.776,90576,32903.1,220,41010,0,271831.68,38682.72,160908.48,0,265747.392,156000,222000,12856,146834.208,162811.296,141078.672,25840,27480,24688,16272,20536,16888,85453.25175,39974.3424,57934.224,26645.112,55349.136,84565.728,116471.52,50142.6,140131.8,58937.49,14023.0656,42846.84,137269.728,81619.488,4589.028,97266.42,131436.54,440581.62,255366.432,149280,241536,141888,54750.6,0,0,24725.52,103051.872,10840.248,0,232371,212325.48,79107,11680.776,64646.28,221050.08,0,75649,198240,80580,481128,305295,20151,127530,48420,113940,79392,0,10456,0,0,0,0,0,0,0,0,0,3550,19590
Wed Feb 01 2006 00:00:00 GMT-0500 (Eastern Standard Time),35734.208,5920,0,106789.376,0,30329.088,20000,33713.888,21727.94,107353.02,5508.232,2228,37204.85,23760.836,13336.26,8265.6,17279.424,28841.108,12368.892,21020.78,29951.216,13957.592,373034.304,9787.508,11418.168,7052.628,10377.292,42461.016,52072.38,413064.6,140625.48,270632.832,217303.68,588.528,26046.048,364440,482718.96,0,11236,81147.168,463386.72,-93253.8,73195.584,0,3062.88,59547.1648,75026.75,22080.672,24763.456,175365.288,30797.06,291058.24,143661.66,473346,61451.55,114320,21264,26016,9052,97010,34503.032,-9767.808,0,0,66336.4,39567.54,13394.08,422632,54724,115632,136792.416,14160,8980,15641.96,101835.78,147678.192,36903.24,64574.7,0,157898,219378.96,198336,309360,191675,28445.712,17512,16982.772,53279.472,134059.34,37882.496,0,-30068,26784,74314.464,68931.072,312120,112640,128645.584,9384,12660.544,8768.504,7853.408,13557.12,11665.696,11179.872,12930.792,13117.704,14221.896,14693.232,14314.528,13462.68,13080.896,50830,128271.6,284100,175260,10152,121520.1024,236960,70080,125720,383011.92,247542.84,31656.78,0,23531.232,27039.328,116667,404160,0,86227.2,87852,30530.3,180,37470,0,290189.52,40034.76,146159.68,0,267012,150000,216000,9144,145125.36,163088.496,178572.96,34512,37968,34424,20896,33152,18720,111428.784,71660.2176,122625.456,52059.288,120989.856,88031.232,131082.72,122510.16,188113.9,137024.85,7788.6336,123358.95,108538.272,106881.264,5078.664,67667.16,93826.92,444437.5,485657.568,106560,252096,158400,92985,0,0,23842.16,102301.824,11923.344,0,192165.12,210120.72,81917,9582.448,49849.32,179301.92,0,4084,195120,89256,356620,208991,82200,114170,64661,116760,75308,0,12456,0,0,0,0,0,0,0,0,0,7650,20230
Wed Mar 01 2006 00:00:00 GMT-0500 (Eastern Standard Time),49063.968,6688,0,139777.344,0,55138.464,29070,26943.552,19444.896,114545.88,6089.4,2652,27696.87,27150.156,10595.088,9154.944,18930.816,21575.988,9331.596,15561.684,21432.888,10741.104,294190.704,7416.9,8748.432,5421.672,8868.528,30749.976,47552.94,382437.72,265275,344784.384,244620.864,21562.848,25149.744,384000,421584.48,0,12684,97848,296232.48,57052.8,72059.04,0,10751.904,45585.648,70992.25,25427.952,19243.584,46359.216,23541.75,286956,123385.14,455183.28,52705.89,131137.2,23376.384,25136,9384,115771,6400,54150.8112,0,0,58418.55,31891.05,28375.2,67143,62942,130928.4,117828.864,15760,9660,23934.96,110879.82,172405.584,37287.40114,73105.32857,0,193180,228166.2,241536,337996.8,133766,30333.528,21200,10548.792,48487.248,81062.46,23667.696,0,4456,30772,80544.672,76868.352,361539.36,131401.44,80137.728,11360,12042.288,11111.832,11718.83389,10342.872,10522.872,10060.56,11011.32,10648.224,11783.016,11075.4,10598.4,10264.248,11349.144,58946.5,127426.5,347760,201900,12176,121279.1616,294160,86320,104256,455396.04,261028.44,34389.9,0,21272.544,28032.336,137496,463680,0,88698,102966,38746.7,440,44490,0,270477.36,11626.2,203886.72,0,79026.192,156000,222000,10176,140177.952,142106.4,102971.088,28152,31096,29024,18288,26960,15704,101217.222,48939.552,78958.224,35254.008,77459.328,101329.92,122712.192,74030.04,175778.1,80340.93,13297.3056,67958.46,124062.192,73988.64,4322.772,98530.02,132447.96,523999.5,264089.808,145056,335232,160320,62442,0,4960,34792.56,111869.856,10119.6,249868.8,211602.24,216153.36,89734,9429.696,64615.68,157978.44,0,5670,234880,89712,314806,252583,220196,121170,44330,136020,77056,0,17268,0,0,0,0,0,0,0,0,0,5880,59560
Sat Apr 01 2006 00:00:00 GMT-0500 (Eastern Standard Time),40548.672,4312,0,142607.232,0,61331.904,28470,24599.376,24567.084,112929.12,5945.688,208,28755.45,27860.616,10988.712,4508,53670,22322.304,10391.004,16400.304,22899.492,11085.12,307910.16,7203.924,8882.604,6011.748,9245.52,32793.768,58399.92,473361.84,162174.96,341081.28,248424.192,50260.176,24007.104,154896,394288.56,0,18744,93994.992,324203.04,57619.35,67054.176,0,10722.528,50373.504,71583,28727.28,19112.112,189852.99,25161.12,310132.8,128508.66,473025.96,56261.79,128049.84,37305.216,23008,10760,113400,6400,54833.544,0,0,63824.85,37600.47,28949.76,69546,65435,128934.72,117613.728,14720,24900,30831.84,106235.82,181951.92,35631.9,78194.16,0,164292,214033.8,279360,343523.2,136366,25950.672,21475,13082.904,54721.44,95973.48,28092.384,0,2528,23548,76841.568,76607.424,347289.84,116197.2,99237.744,14632,13208.688,11308.968,12847.176,11027.88,11441.448,11531.016,11386.512,10742.544,12124.008,12678.552,12268.512,11491.992,13249.944,67240.1,144480.78,313980,187860,11176,157096.9728,280240,84080,106132.32,498739.68,258802.56,35326.26,0,22131.792,22811.76,129359,479360,0,88698,74088,37485,420,41760,0,272101.68,37850,213670.08,0,254900,173535,231825,12208,134427.6,150289.344,82647.216,17168,19256,17560,9200,14704,7064,103807.8315,50790.7584,90545.184,41920.2,88624.584,106316.064,116861.184,90153.54,210642.3,96777.18,28516.1472,83299.32,108549.072,79626.24,4099.572,96045.48,117006.66,486149.5,250748.784,129504,289536,188544,58320,0,30560,30077.28,147459.744,9106.632,230370.048,203130.72,211386.24,90401.8,11211.912,79097.04,196518.6,0,12426,212520,76932,297781,335522,249144,158090,51783,139380,59212,0,13180,0,0,0,0,0,0,0,0,0,15780,43840
Mon May 01 2006 00:00:00 GMT-0400 (Eastern Daylight Time),41155.36,5088,0,149455.424,0,153699.9168,34200,32713.072,27860.02,125505,20052.28,0,24017.68,25681.228,9616.2,5754.736,38900.52,18509.708,9533.4,14126.012,20823.62,9597.776,302507.136,6431.176,8164.964,5282.58,8909.952,28844.256,77347.14,486040.44,226730.04,362454.336,247306.944,62672.976,25803.152,141120,415266.96,0,12276,93973.008,377964.48,49877.85,68870.784,0,10000,62472.848,70473,33191.864,19532.304,293572.752,20587.13,385791.2,320510.88,468950.76,61192.32,265292.96,17590.4,24032,9284,108721,38992,3911.6448,0,0,80767.92,43308.48,22475.04,61661,69872,129416.88,137805.408,14840,41900,32273.2,111324.36,190250.496,37060.69886,78200.51143,0,182885,231420,201216,183840,140305,34987.8,37376,24950.144,63135.312,74784.06,19663.92,0,2168,26440,79061.76,77308.224,344730.8,143761.36,70016.528,10668,14517.024,12123.2,14721.99011,12269.248,12659.68,12792.424,13066.168,11897.232,13212.976,13630.048,12237.088,14379.76,16000.912,49089,177852.72,355800,214140,15544,189796.6656,289680,81760,114091.68,538364.28,265509,33423.84,0,21467.664,28627.904,120113,456080,0,88698,78624,57800.9,440,45810,0,247450.8,426200,205403.2,0,0,109662,146772,12488,155954.448,144788.256,79485.696,14544,17504,14176,8056,11472,6160,102822.9465,68634.4896,68048.592,38529.792,64892.088,100000,115530.624,58216.42,219529.6,67951.89,58525.7472,59102.22,135020.736,89313.12,4629.656,99244.5,123235.38,588520,255000,147456,338496,266496,68438,0,720,34130.16,180542.4,10057.768,23492.5,202787.04,196460.4,111888.2,5538.392,120626.432,257102.96,0,13011,550.5,93096,213955,261419,282443,142030,53901,105100,50548,0,11112,0,0,0,0,0,0,0,0,0,2950,15060
Thu Jun 01 2006 00:00:00 GMT-0400 (Eastern Daylight Time),41668.992,6136,0,184365.9264,0,155136,45000,27251.568,22308.048,115898.6782,23466.59345,0,15544.53,19410.27055,5851.476,44567.424,44352,9786.96,4339.08,8184,18471.096,5264.496,272065.392,4488.984,4899.06,3318.408,4785.012,20320.53737,109710,491788.8,218387.88,355615.488,249654.528,106655.616,49473.47329,68784.768,374502.96,0,6824,87639.84,496352.16,54389.25,80305.056,0,34224,84206.736,51345.2,33589.008,21143.232,36869.256,11667.15,573340.32,443510.64,449235.72,78160.41,322920,53376.48,36128,6016,140097,6400,66379.824,26610,0,92344.86,55619.73,21683.76,61893,58169,128811.6,136874.88,14080,52840,38080,113962.14,196393.248,35069.76,77648.76,0,177745,212680.08,331776,206805.6,80915,38099.16,27768,13850.14539,67726.56436,49096.26,11281.58031,0,3148,26140,72823.104,75422.88,328746.24,218345.76,47694.528,15026.508,16385.328,12432.672,15665.4,11538.36,11577.6,12229.992,12627.072,10937.448,9663.768,9144.288,11285.496,14303.592,12438.864,50316.3,179029.44,470699.64,193956.12,13013.064,193409.856,485477.28,54405.12,80012.16,582510.96,266920.92,35199.9,0,30494.448,38762.208,124909,427881.6,0,106904,72918,38813.8,220,42840,0,231450,494600,189120,0,0,107778,144084,15888,135883.008,172609.056,115113.312,17552,24024,16832,8168,14208,8192,95047.59375,93442.03975,38403.792,18617.256,39835.16988,134867.808,114003.6083,28658.88,291069,38955.06,65434.5216,30626.37,146023.8564,118450.512,7075.08,98425.8,124600.14,575485,301656.96,133536,311424,397632,74914.2,0,1360,32649.84,212713.344,13517.928,24347.52,186559.2,182336.4,155605,2291.770593,153395.328,307643.76,0,10776,507.1,66672,507442,401887,309515,88040,49923,105100,31024,0,14148,0,94170,0,0,0,0,0,0,0,2130,11580
Sat Jul 01 2006 00:00:00 GMT-0400 (Eastern Daylight Time),45627.008,7788,0,225394.0736,0,167116.8,51930,27436.432,25291.952,124701.3218,29693.40655,564,16705.47,24101.72945,7836.524,28136.576,44352,12829.04,4656.92,10680,17892.904,6823.504,303934.608,4899.016,6392.94,4385.592,6478.988,22867.46263,109710,556891.2,229512.12,425056.512,301769.472,162624.384,60318.52671,220127.232,392777.04,0,20560,104312.16,618367.84,63660.75,85022.944,0,34224,88801.264,62150.1,42186.992,23192.768,165210.744,16432.85,724019.68,572697.36,495044.28,92089.59,322920,10479.52,54592,33896,168815,39096,41308.176,26610,0,119695.14,69570.27,23676.24,650747,88502,147380.4,150261.12,14920,72560,46040,131377.86,222646.752,38190.24,93291.24,0,182615,233599.92,427200,237994.4,281408,44004.84,38984,16357.85461,100417.4356,58003.74,13598.41969,0,3700,24964,76648.896,79425.12,356253.76,164094.24,64881.472,18329.492,18350.672,14807.328,18494.6,13181.64,14214.4,17746.008,15140.928,13726.552,13456.232,12967.712,12274.504,17352.408,14937.136,62498.7,174790.56,656040.36,240503.88,17042.936,197924.544,651802.72,97514.88,80227.84,662549.04,386299.08,40820.1,0,46809.552,48373.792,159809,484358.4,0,106904,88068,40759.2,540,44550,0,272550,330400,241520,0,0,108666,153468,22464,198772.992,261550.944,140918.688,23368,32024,20624,10824,17808,10752,120979.4063,98769.16025,39404.208,19374.744,44140.83012,100000,132524.3917,41341.12,322531,45764.94,88434.2784,38043.63,184600.1436,134269.488,8460.92,99094.2,148879.86,744512,297383.04,153216,346176,489216,120785.8,0,1440,56870.16,288886.656,21462.072,22500,186160.8,197823.6,219573,3296.229407,206924.672,393956.24,0,5003,556.3,73176,587797,492730,315510,151190,50011,105100,64084,0,19164,0,94170,0,0,0,0,0,0,0,6613,13446
