date,value,flag
Thu May 31 2018 20:00:00 GMT-0400 (Eastern Daylight Time),121,
Thu May 31 2018 20:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Thu May 31 2018 20:15:00 GMT-0400 (Eastern Daylight Time),0,
Thu May 31 2018 20:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Thu May 31 2018 20:30:00 GMT-0400 (Eastern Daylight Time),306,
Thu May 31 2018 20:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Thu May 31 2018 20:45:00 GMT-0400 (Eastern Daylight Time),215,
Thu May 31 2018 20:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Thu May 31 2018 21:00:00 GMT-0400 (Eastern Daylight Time),383,
Thu May 31 2018 21:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Thu May 31 2018 21:15:00 GMT-0400 (Eastern Daylight Time),243,
Thu May 31 2018 21:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Thu May 31 2018 21:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Thu May 31 2018 21:30:00 GMT-0400 (Eastern Daylight Time),254,
Thu May 31 2018 21:45:00 GMT-0400 (Eastern Daylight Time),274,
Thu May 31 2018 21:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Thu May 31 2018 22:00:00 GMT-0400 (Eastern Daylight Time),278,
Thu May 31 2018 22:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Thu May 31 2018 22:15:00 GMT-0400 (Eastern Daylight Time),274,
Thu May 31 2018 22:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Thu May 31 2018 22:30:00 GMT-0400 (Eastern Daylight Time),193,
Thu May 31 2018 22:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Thu May 31 2018 22:45:00 GMT-0400 (Eastern Daylight Time),365,
Thu May 31 2018 22:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Thu May 31 2018 23:00:00 GMT-0400 (Eastern Daylight Time),192,
Thu May 31 2018 23:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Thu May 31 2018 23:15:00 GMT-0400 (Eastern Daylight Time),191,
Thu May 31 2018 23:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Thu May 31 2018 23:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Thu May 31 2018 23:30:00 GMT-0400 (Eastern Daylight Time),488,
Thu May 31 2018 23:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Thu May 31 2018 23:45:00 GMT-0400 (Eastern Daylight Time),289,
Fri Jun 01 2018 00:00:00 GMT-0400 (Eastern Daylight Time),104,
Fri Jun 01 2018 00:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 00:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 00:15:00 GMT-0400 (Eastern Daylight Time),385,
Fri Jun 01 2018 00:30:00 GMT-0400 (Eastern Daylight Time),368,
Fri Jun 01 2018 00:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 00:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 00:45:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 01:00:00 GMT-0400 (Eastern Daylight Time),450,
Fri Jun 01 2018 01:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 01:15:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 01:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 01:30:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 01:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 01:45:00 GMT-0400 (Eastern Daylight Time),589,
Fri Jun 01 2018 01:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 02:00:00 GMT-0400 (Eastern Daylight Time),313,
Fri Jun 01 2018 02:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 02:15:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 02:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 02:30:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 02:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 02:45:00 GMT-0400 (Eastern Daylight Time),549,
Fri Jun 01 2018 02:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 03:00:00 GMT-0400 (Eastern Daylight Time),247,
Fri Jun 01 2018 03:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
