date,value
Thu Jan 01 2015 00:00:00 GMT-0500 (Eastern Standard Time),2300
Thu Jan 01 2015 01:00:00 GMT-0500 (Eastern Standard Time),2300
Thu Jan 01 2015 02:00:00 GMT-0500 (Eastern Standard Time),2300
Thu Jan 01 2015 03:00:00 GMT-0500 (Eastern Standard Time),2500
Thu Jan 01 2015 04:00:00 GMT-0500 (Eastern Standard Time),2300
Thu Jan 01 2015 05:00:00 GMT-0500 (Eastern Standard Time),2300
Thu Jan 01 2015 06:00:00 GMT-0500 (Eastern Standard Time),2500
Thu Jan 01 2015 07:00:00 GMT-0500 (Eastern Standard Time),2500
Thu Jan 01 2015 08:00:00 GMT-0500 (Eastern Standard Time),2000
Thu Jan 01 2015 09:00:00 GMT-0500 (Eastern Standard Time),1200
Thu Jan 01 2015 10:00:00 GMT-0500 (Eastern Standard Time),1300
Thu Jan 01 2015 11:00:00 GMT-0500 (Eastern Standard Time),1500
Thu Jan 01 2015 12:00:00 GMT-0500 (Eastern Standard Time),1500
Thu Jan 01 2015 13:00:00 GMT-0500 (Eastern Standard Time),1200
Thu Jan 01 2015 14:00:00 GMT-0500 (Eastern Standard Time),1300
Thu Jan 01 2015 15:00:00 GMT-0500 (Eastern Standard Time),1500
Thu Jan 01 2015 16:00:00 GMT-0500 (Eastern Standard Time),1400
Thu Jan 01 2015 17:00:00 GMT-0500 (Eastern Standard Time),1700
Thu Jan 01 2015 18:00:00 GMT-0500 (Eastern Standard Time),1700
Thu Jan 01 2015 19:00:00 GMT-0500 (Eastern Standard Time),1400
Thu Jan 01 2015 20:00:00 GMT-0500 (Eastern Standard Time),1600
Thu Jan 01 2015 21:00:00 GMT-0500 (Eastern Standard Time),1600
Thu Jan 01 2015 22:00:00 GMT-0500 (Eastern Standard Time),1700
Thu Jan 01 2015 23:00:00 GMT-0500 (Eastern Standard Time),1900
Fri Jan 02 2015 00:00:00 GMT-0500 (Eastern Standard Time),1800
Fri Jan 02 2015 01:00:00 GMT-0500 (Eastern Standard Time),2000
Fri Jan 02 2015 02:00:00 GMT-0500 (Eastern Standard Time),1800
Fri Jan 02 2015 03:00:00 GMT-0500 (Eastern Standard Time),1800
Fri Jan 02 2015 04:00:00 GMT-0500 (Eastern Standard Time),1900
Fri Jan 02 2015 05:00:00 GMT-0500 (Eastern Standard Time),1900
Fri Jan 02 2015 06:00:00 GMT-0500 (Eastern Standard Time),1800
Fri Jan 02 2015 07:00:00 GMT-0500 (Eastern Standard Time),2000
Fri Jan 02 2015 08:00:00 GMT-0500 (Eastern Standard Time),1600
Fri Jan 02 2015 09:00:00 GMT-0500 (Eastern Standard Time),1400
Fri Jan 02 2015 10:00:00 GMT-0500 (Eastern Standard Time),1000
Fri Jan 02 2015 11:00:00 GMT-0500 (Eastern Standard Time),1100
Fri Jan 02 2015 12:00:00 GMT-0500 (Eastern Standard Time),1200
Fri Jan 02 2015 13:00:00 GMT-0500 (Eastern Standard Time),1200
Fri Jan 02 2015 14:00:00 GMT-0500 (Eastern Standard Time),1200
Fri Jan 02 2015 15:00:00 GMT-0500 (Eastern Standard Time),1300
Fri Jan 02 2015 16:00:00 GMT-0500 (Eastern Standard Time),1300
Fri Jan 02 2015 17:00:00 GMT-0500 (Eastern Standard Time),1600
Fri Jan 02 2015 18:00:00 GMT-0500 (Eastern Standard Time),1700
Fri Jan 02 2015 19:00:00 GMT-0500 (Eastern Standard Time),1700
Fri Jan 02 2015 20:00:00 GMT-0500 (Eastern Standard Time),1800
Fri Jan 02 2015 21:00:00 GMT-0500 (Eastern Standard Time),1800
Fri Jan 02 2015 22:00:00 GMT-0500 (Eastern Standard Time),1800
Fri Jan 02 2015 23:00:00 GMT-0500 (Eastern Standard Time),1800
Sat Jan 03 2015 00:00:00 GMT-0500 (Eastern Standard Time),1800
Sat Jan 03 2015 01:00:00 GMT-0500 (Eastern Standard Time),1800
Sat Jan 03 2015 02:00:00 GMT-0500 (Eastern Standard Time),1800
Sat Jan 03 2015 03:00:00 GMT-0500 (Eastern Standard Time),1600
Sat Jan 03 2015 04:00:00 GMT-0500 (Eastern Standard Time),1400
Sat Jan 03 2015 05:00:00 GMT-0500 (Eastern Standard Time),1600
Sat Jan 03 2015 06:00:00 GMT-0500 (Eastern Standard Time),1600
Sat Jan 03 2015 07:00:00 GMT-0500 (Eastern Standard Time),1600
Sat Jan 03 2015 08:00:00 GMT-0500 (Eastern Standard Time),1800
Sat Jan 03 2015 09:00:00 GMT-0500 (Eastern Standard Time),1500
Sat Jan 03 2015 10:00:00 GMT-0500 (Eastern Standard Time),1600
Sat Jan 03 2015 11:00:00 GMT-0500 (Eastern Standard Time),1500
Sat Jan 03 2015 12:00:00 GMT-0500 (Eastern Standard Time),1500
Sat Jan 03 2015 13:00:00 GMT-0500 (Eastern Standard Time),1600
Sat Jan 03 2015 14:00:00 GMT-0500 (Eastern Standard Time),1600
Sat Jan 03 2015 15:00:00 GMT-0500 (Eastern Standard Time),1600
Sat Jan 03 2015 16:00:00 GMT-0500 (Eastern Standard Time),1600
Sat Jan 03 2015 17:00:00 GMT-0500 (Eastern Standard Time),1600
Sat Jan 03 2015 18:00:00 GMT-0500 (Eastern Standard Time),1500
Sat Jan 03 2015 19:00:00 GMT-0500 (Eastern Standard Time),1500
Sat Jan 03 2015 20:00:00 GMT-0500 (Eastern Standard Time),1500
Sat Jan 03 2015 21:00:00 GMT-0500 (Eastern Standard Time),1500
Sat Jan 03 2015 22:00:00 GMT-0500 (Eastern Standard Time),1500
Sat Jan 03 2015 23:00:00 GMT-0500 (Eastern Standard Time),1400
Sun Jan 04 2015 00:00:00 GMT-0500 (Eastern Standard Time),1400
Sun Jan 04 2015 01:00:00 GMT-0500 (Eastern Standard Time),1500
Sun Jan 04 2015 02:00:00 GMT-0500 (Eastern Standard Time),1300
Sun Jan 04 2015 03:00:00 GMT-0500 (Eastern Standard Time),1200
Sun Jan 04 2015 04:00:00 GMT-0500 (Eastern Standard Time),1300
Sun Jan 04 2015 05:00:00 GMT-0500 (Eastern Standard Time),1300
Sun Jan 04 2015 06:00:00 GMT-0500 (Eastern Standard Time),1200
Sun Jan 04 2015 07:00:00 GMT-0500 (Eastern Standard Time),1200
Sun Jan 04 2015 08:00:00 GMT-0500 (Eastern Standard Time),1100
Sun Jan 04 2015 09:00:00 GMT-0500 (Eastern Standard Time),1100
Sun Jan 04 2015 10:00:00 GMT-0500 (Eastern Standard Time),1000
Sun Jan 04 2015 11:00:00 GMT-0500 (Eastern Standard Time),1000
Sun Jan 04 2015 12:00:00 GMT-0500 (Eastern Standard Time),900
Sun Jan 04 2015 13:00:00 GMT-0500 (Eastern Standard Time),900
Sun Jan 04 2015 14:00:00 GMT-0500 (Eastern Standard Time),1100
Sun Jan 04 2015 15:00:00 GMT-0500 (Eastern Standard Time),800
Sun Jan 04 2015 16:00:00 GMT-0500 (Eastern Standard Time),900
Sun Jan 04 2015 17:00:00 GMT-0500 (Eastern Standard Time),900
Sun Jan 04 2015 18:00:00 GMT-0500 (Eastern Standard Time),1000
Sun Jan 04 2015 19:00:00 GMT-0500 (Eastern Standard Time),1400
Sun Jan 04 2015 20:00:00 GMT-0500 (Eastern Standard Time),1100
Sun Jan 04 2015 21:00:00 GMT-0500 (Eastern Standard Time),1000
Sun Jan 04 2015 22:00:00 GMT-0500 (Eastern Standard Time),1400
Sun Jan 04 2015 23:00:00 GMT-0500 (Eastern Standard Time),1500
Mon Jan 05 2015 00:00:00 GMT-0500 (Eastern Standard Time),1500
Mon Jan 05 2015 01:00:00 GMT-0500 (Eastern Standard Time),1600
Mon Jan 05 2015 02:00:00 GMT-0500 (Eastern Standard Time),1500
Mon Jan 05 2015 03:00:00 GMT-0500 (Eastern Standard Time),1500
Mon Jan 05 2015 04:00:00 GMT-0500 (Eastern Standard Time),1600
Mon Jan 05 2015 05:00:00 GMT-0500 (Eastern Standard Time),1700
Mon Jan 05 2015 06:00:00 GMT-0500 (Eastern Standard Time),1600
Mon Jan 05 2015 07:00:00 GMT-0500 (Eastern Standard Time),1800
Mon Jan 05 2015 08:00:00 GMT-0500 (Eastern Standard Time),1900
Mon Jan 05 2015 09:00:00 GMT-0500 (Eastern Standard Time),1800
Mon Jan 05 2015 10:00:00 GMT-0500 (Eastern Standard Time),1800
Mon Jan 05 2015 11:00:00 GMT-0500 (Eastern Standard Time),1800
Mon Jan 05 2015 12:00:00 GMT-0500 (Eastern Standard Time),1800
Mon Jan 05 2015 13:00:00 GMT-0500 (Eastern Standard Time),2000
Mon Jan 05 2015 14:00:00 GMT-0500 (Eastern Standard Time),1800
Mon Jan 05 2015 15:00:00 GMT-0500 (Eastern Standard Time),1900
Mon Jan 05 2015 16:00:00 GMT-0500 (Eastern Standard Time),2000
Mon Jan 05 2015 17:00:00 GMT-0500 (Eastern Standard Time),2200
Mon Jan 05 2015 18:00:00 GMT-0500 (Eastern Standard Time),2000
Mon Jan 05 2015 19:00:00 GMT-0500 (Eastern Standard Time),2200
Mon Jan 05 2015 20:00:00 GMT-0500 (Eastern Standard Time),2100
Mon Jan 05 2015 21:00:00 GMT-0500 (Eastern Standard Time),1800
Mon Jan 05 2015 22:00:00 GMT-0500 (Eastern Standard Time),2000
Mon Jan 05 2015 23:00:00 GMT-0500 (Eastern Standard Time),2000
Tue Jan 06 2015 00:00:00 GMT-0500 (Eastern Standard Time),1900
Tue Jan 06 2015 01:00:00 GMT-0500 (Eastern Standard Time),2000
Tue Jan 06 2015 02:00:00 GMT-0500 (Eastern Standard Time),2000
Tue Jan 06 2015 03:00:00 GMT-0500 (Eastern Standard Time),1900
Tue Jan 06 2015 04:00:00 GMT-0500 (Eastern Standard Time),2200
Tue Jan 06 2015 05:00:00 GMT-0500 (Eastern Standard Time),2400
Tue Jan 06 2015 06:00:00 GMT-0500 (Eastern Standard Time),2200
Tue Jan 06 2015 07:00:00 GMT-0500 (Eastern Standard Time),2300
Tue Jan 06 2015 08:00:00 GMT-0500 (Eastern Standard Time),2500
Tue Jan 06 2015 09:00:00 GMT-0500 (Eastern Standard Time),2000
Tue Jan 06 2015 10:00:00 GMT-0500 (Eastern Standard Time),1900
Tue Jan 06 2015 11:00:00 GMT-0500 (Eastern Standard Time),1900
Tue Jan 06 2015 12:00:00 GMT-0500 (Eastern Standard Time),2000
Tue Jan 06 2015 13:00:00 GMT-0500 (Eastern Standard Time),1900
Tue Jan 06 2015 14:00:00 GMT-0500 (Eastern Standard Time),1900
Tue Jan 06 2015 15:00:00 GMT-0500 (Eastern Standard Time),1800
Tue Jan 06 2015 16:00:00 GMT-0500 (Eastern Standard Time),2000
Tue Jan 06 2015 17:00:00 GMT-0500 (Eastern Standard Time),2000
Tue Jan 06 2015 18:00:00 GMT-0500 (Eastern Standard Time),2200
Tue Jan 06 2015 19:00:00 GMT-0500 (Eastern Standard Time),2300
Tue Jan 06 2015 20:00:00 GMT-0500 (Eastern Standard Time),1700
Tue Jan 06 2015 21:00:00 GMT-0500 (Eastern Standard Time),1900
Tue Jan 06 2015 22:00:00 GMT-0500 (Eastern Standard Time),1900
Tue Jan 06 2015 23:00:00 GMT-0500 (Eastern Standard Time),2100
Wed Jan 07 2015 00:00:00 GMT-0500 (Eastern Standard Time),2000
Wed Jan 07 2015 01:00:00 GMT-0500 (Eastern Standard Time),2200
Wed Jan 07 2015 02:00:00 GMT-0500 (Eastern Standard Time),2100
Wed Jan 07 2015 03:00:00 GMT-0500 (Eastern Standard Time),1800
Wed Jan 07 2015 04:00:00 GMT-0500 (Eastern Standard Time),2300
Wed Jan 07 2015 05:00:00 GMT-0500 (Eastern Standard Time),2200
Wed Jan 07 2015 06:00:00 GMT-0500 (Eastern Standard Time),2000
Wed Jan 07 2015 07:00:00 GMT-0500 (Eastern Standard Time),2200
Wed Jan 07 2015 08:00:00 GMT-0500 (Eastern Standard Time),2400
Wed Jan 07 2015 09:00:00 GMT-0500 (Eastern Standard Time),2100
Wed Jan 07 2015 10:00:00 GMT-0500 (Eastern Standard Time),2200
Wed Jan 07 2015 11:00:00 GMT-0500 (Eastern Standard Time),2200
Wed Jan 07 2015 12:00:00 GMT-0500 (Eastern Standard Time),2100
Wed Jan 07 2015 13:00:00 GMT-0500 (Eastern Standard Time),2300
Wed Jan 07 2015 14:00:00 GMT-0500 (Eastern Standard Time),2200
Wed Jan 07 2015 15:00:00 GMT-0500 (Eastern Standard Time),2300
Wed Jan 07 2015 16:00:00 GMT-0500 (Eastern Standard Time),2400
Wed Jan 07 2015 17:00:00 GMT-0500 (Eastern Standard Time),2300
Wed Jan 07 2015 18:00:00 GMT-0500 (Eastern Standard Time),2300
Wed Jan 07 2015 19:00:00 GMT-0500 (Eastern Standard Time),2300
Wed Jan 07 2015 20:00:00 GMT-0500 (Eastern Standard Time),2400
Wed Jan 07 2015 21:00:00 GMT-0500 (Eastern Standard Time),2300
Wed Jan 07 2015 22:00:00 GMT-0500 (Eastern Standard Time),2300
Wed Jan 07 2015 23:00:00 GMT-0500 (Eastern Standard Time),2200
Thu Jan 08 2015 00:00:00 GMT-0500 (Eastern Standard Time),2300
Thu Jan 08 2015 01:00:00 GMT-0500 (Eastern Standard Time),2200
Thu Jan 08 2015 02:00:00 GMT-0500 (Eastern Standard Time),2400
Thu Jan 08 2015 03:00:00 GMT-0500 (Eastern Standard Time),2500
Thu Jan 08 2015 04:00:00 GMT-0500 (Eastern Standard Time),2500
Thu Jan 08 2015 05:00:00 GMT-0500 (Eastern Standard Time),2600
Thu Jan 08 2015 06:00:00 GMT-0500 (Eastern Standard Time),2600
Thu Jan 08 2015 07:00:00 GMT-0500 (Eastern Standard Time),2600
Thu Jan 08 2015 08:00:00 GMT-0500 (Eastern Standard Time),2800
Thu Jan 08 2015 09:00:00 GMT-0500 (Eastern Standard Time),2500
Thu Jan 08 2015 10:00:00 GMT-0500 (Eastern Standard Time),2600
Thu Jan 08 2015 11:00:00 GMT-0500 (Eastern Standard Time),2400
Thu Jan 08 2015 12:00:00 GMT-0500 (Eastern Standard Time),2300
Thu Jan 08 2015 13:00:00 GMT-0500 (Eastern Standard Time),2300
Thu Jan 08 2015 14:00:00 GMT-0500 (Eastern Standard Time),2200
Thu Jan 08 2015 15:00:00 GMT-0500 (Eastern Standard Time),2200
Thu Jan 08 2015 16:00:00 GMT-0500 (Eastern Standard Time),2300
Thu Jan 08 2015 17:00:00 GMT-0500 (Eastern Standard Time),2400
Thu Jan 08 2015 18:00:00 GMT-0500 (Eastern Standard Time),2400
Thu Jan 08 2015 19:00:00 GMT-0500 (Eastern Standard Time),2400
Thu Jan 08 2015 20:00:00 GMT-0500 (Eastern Standard Time),2200
Thu Jan 08 2015 21:00:00 GMT-0500 (Eastern Standard Time),2200
Thu Jan 08 2015 22:00:00 GMT-0500 (Eastern Standard Time),2300
Thu Jan 08 2015 23:00:00 GMT-0500 (Eastern Standard Time),2100
Fri Jan 09 2015 00:00:00 GMT-0500 (Eastern Standard Time),2200
Fri Jan 09 2015 01:00:00 GMT-0500 (Eastern Standard Time),2200
Fri Jan 09 2015 02:00:00 GMT-0500 (Eastern Standard Time),2200
Fri Jan 09 2015 03:00:00 GMT-0500 (Eastern Standard Time),2200
Fri Jan 09 2015 04:00:00 GMT-0500 (Eastern Standard Time),2300
Fri Jan 09 2015 05:00:00 GMT-0500 (Eastern Standard Time),2300
Fri Jan 09 2015 06:00:00 GMT-0500 (Eastern Standard Time),2300
Fri Jan 09 2015 07:00:00 GMT-0500 (Eastern Standard Time),2100
Fri Jan 09 2015 08:00:00 GMT-0500 (Eastern Standard Time),2000
Fri Jan 09 2015 09:00:00 GMT-0500 (Eastern Standard Time),2000
Fri Jan 09 2015 10:00:00 GMT-0500 (Eastern Standard Time),1500
Fri Jan 09 2015 11:00:00 GMT-0500 (Eastern Standard Time),1700
Fri Jan 09 2015 12:00:00 GMT-0500 (Eastern Standard Time),1500
Fri Jan 09 2015 13:00:00 GMT-0500 (Eastern Standard Time),1600
Fri Jan 09 2015 14:00:00 GMT-0500 (Eastern Standard Time),1600
Fri Jan 09 2015 15:00:00 GMT-0500 (Eastern Standard Time),1800
Fri Jan 09 2015 16:00:00 GMT-0500 (Eastern Standard Time),1800
Fri Jan 09 2015 17:00:00 GMT-0500 (Eastern Standard Time),1900
Fri Jan 09 2015 18:00:00 GMT-0500 (Eastern Standard Time),1900
Fri Jan 09 2015 19:00:00 GMT-0500 (Eastern Standard Time),1900
Fri Jan 09 2015 20:00:00 GMT-0500 (Eastern Standard Time),2100
Fri Jan 09 2015 21:00:00 GMT-0500 (Eastern Standard Time),1800
